epoch_s,local_time,dt_s,section,paddle,slat,mem_index,diff,rate_hz
1771538214,2026-02-19 21:56:54,5.000930,BARREL,125,2,49,23,4.599145
1771538214,2026-02-19 21:56:54,5.000930,BARREL,104,1,52,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,104,2,53,534,106.780146
1771538214,2026-02-19 21:56:54,5.000930,BARREL,37,1,64,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,37,2,65,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,70,1,66,45,8.998327
1771538214,2026-02-19 21:56:54,5.000930,BARREL,70,2,67,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,28,1,68,46,9.198290
1771538214,2026-02-19 21:56:54,5.000930,BARREL,28,2,69,72,14.397323
1771538214,2026-02-19 21:56:54,5.000930,BARREL,54,1,70,43,8.598401
1771538214,2026-02-19 21:56:54,5.000930,BARREL,54,2,71,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,25,1,72,47,9.398253
1771538214,2026-02-19 21:56:54,5.000930,BARREL,25,2,73,49,9.798178
1771538214,2026-02-19 21:56:54,5.000930,BARREL,301,1,74,47,9.398253
1771538214,2026-02-19 21:56:54,5.000930,BARREL,301,2,75,58,11.597844
1771538214,2026-02-19 21:56:54,5.000930,BARREL,304,1,76,53,10.598030
1771538214,2026-02-19 21:56:54,5.000930,BARREL,304,2,77,60,11.997769
1771538214,2026-02-19 21:56:54,5.000930,BARREL,22,1,78,1637,327.339138
1771538214,2026-02-19 21:56:54,5.000930,BARREL,22,2,79,53,10.598030
1771538214,2026-02-19 21:56:54,5.000930,BARREL,4,1,80,45,8.998327
1771538214,2026-02-19 21:56:54,5.000930,BARREL,4,2,81,54,10.797992
1771538214,2026-02-19 21:56:54,5.000930,BARREL,12,1,82,56,11.197918
1771538214,2026-02-19 21:56:54,5.000930,BARREL,12,2,83,46,9.198290
1771538214,2026-02-19 21:56:54,5.000930,BARREL,99,1,84,62,12.397695
1771538214,2026-02-19 21:56:54,5.000930,BARREL,99,2,85,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,56,1,86,61,12.197732
1771538214,2026-02-19 21:56:54,5.000930,BARREL,56,2,87,63,12.597658
1771538214,2026-02-19 21:56:54,5.000930,BARREL,122,1,88,25,4.999071
1771538214,2026-02-19 21:56:54,5.000930,BARREL,122,2,89,64,12.797621
1771538214,2026-02-19 21:56:54,5.000930,BARREL,55,1,90,48,9.598215
1771538214,2026-02-19 21:56:54,5.000930,BARREL,55,2,91,16,3.199405
1771538214,2026-02-19 21:56:54,5.000930,BARREL,83,1,92,14,2.799479
1771538214,2026-02-19 21:56:54,5.000930,BARREL,83,2,93,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,97,1,94,12,2.399554
1771538214,2026-02-19 21:56:54,5.000930,BARREL,97,2,95,53,10.598030
1771538214,2026-02-19 21:56:54,5.000930,BARREL,84,1,96,63,12.597658
1771538214,2026-02-19 21:56:54,5.000930,BARREL,84,2,97,35,6.998699
1771538214,2026-02-19 21:56:54,5.000930,BARREL,305,1,98,62,12.397695
1771538214,2026-02-19 21:56:54,5.000930,BARREL,305,2,99,49,9.798178
1771538214,2026-02-19 21:56:54,5.000930,BARREL,2,1,100,32,6.398810
1771538214,2026-02-19 21:56:54,5.000930,BARREL,2,2,101,51,10.198104
1771538214,2026-02-19 21:56:54,5.000930,BARREL,45,1,102,59,11.797806
1771538214,2026-02-19 21:56:54,5.000930,BARREL,45,2,103,38,7.598587
1771538214,2026-02-19 21:56:54,5.000930,BARREL,77,1,-1,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,77,2,-1,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,11,1,2,42,8.398438
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,11,2,3,90,17.996654
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,38,1,4,157,31.394163
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,38,2,5,242,48.391003
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,96,1,6,174,34.793531
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,96,2,7,1395,278.948135
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,307,1,8,131,26.195130
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,307,2,9,550,109.979552
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,52,1,10,95,18.996468
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,52,2,11,177,35.393419
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,102,1,12,144,28.794646
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,102,2,13,3865,772.856303
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,124,2,14,28,5.598959
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,124,1,15,102,20.396208
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,48,2,16,220,43.991821
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,48,1,17,122,24.395464
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,75,2,18,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,75,1,19,13,2.599517
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,109,2,20,182,36.393233
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,109,1,21,216,43.191969
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,123,2,22,45,8.998327
1771538214,2026-02-19 21:56:54,5.000930,BOTTOM,123,1,23,10,1.999628
1771538219,2026-02-19 21:56:59,5.000908,TOP,103,1,63,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,103,2,62,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,300,1,58,1,0.199964
1771538219,2026-02-19 21:56:59,5.000908,TOP,300,2,59,2,0.399927
1771538219,2026-02-19 21:56:59,5.000908,TOP,80,1,60,178,35.593534
1771538219,2026-02-19 21:56:59,5.000908,TOP,80,2,61,187,37.393207
1771538219,2026-02-19 21:56:59,5.000908,TOP,303,1,50,241,48.191245
1771538219,2026-02-19 21:56:59,5.000908,TOP,303,2,57,93,18.596622
1771538219,2026-02-19 21:56:59,5.000908,TOP,88,1,56,36,7.198692
1771538219,2026-02-19 21:56:59,5.000908,TOP,88,2,54,53,10.598075
1771538219,2026-02-19 21:56:59,5.000908,TOP,30,1,127,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,30,2,126,186,37.193243
1771538219,2026-02-19 21:56:59,5.000908,TOP,34,1,106,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,34,2,107,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,74,1,108,97,19.396476
1771538219,2026-02-19 21:56:59,5.000908,TOP,74,2,110,202,40.392662
1771538219,2026-02-19 21:56:59,5.000908,TOP,47,1,112,14,2.799491
1771538219,2026-02-19 21:56:59,5.000908,TOP,47,2,114,235,46.991463
1771538219,2026-02-19 21:56:59,5.000908,TOP,115,1,116,37,7.398656
1771538219,2026-02-19 21:56:59,5.000908,TOP,115,2,118,233,46.591536
1771538219,2026-02-19 21:56:59,5.000908,TOP,46,1,119,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,46,2,117,10,1.999637
1771538219,2026-02-19 21:56:59,5.000908,TOP,167,1,115,121,24.195604
1771538219,2026-02-19 21:56:59,5.000908,TOP,167,2,113,87,17.396839
1771538219,2026-02-19 21:56:59,5.000908,TOP,90,1,111,207,41.392480
1771538219,2026-02-19 21:56:59,5.000908,TOP,90,2,109,11,2.199600
1771538219,2026-02-19 21:56:59,5.000908,TOP,302,1,120,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,302,2,121,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,62,1,122,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,62,2,123,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,44,1,124,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,44,2,125,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,TOP,61,1,55,171,34.193788
1771538219,2026-02-19 21:56:59,5.000908,TOP,61,2,51,2,0.399927
1771538219,2026-02-19 21:56:59,5.000908,BARREL,26,1,24,60,11.997820
1771538219,2026-02-19 21:56:59,5.000908,BARREL,26,2,25,41,8.198511
1771538219,2026-02-19 21:56:59,5.000908,BARREL,66,1,26,58,11.597893
1771538219,2026-02-19 21:56:59,5.000908,BARREL,66,2,27,48,9.598256
1771538219,2026-02-19 21:56:59,5.000908,BARREL,10,1,28,52,10.398111
1771538219,2026-02-19 21:56:59,5.000908,BARREL,10,2,29,44,8.798402
1771538219,2026-02-19 21:56:59,5.000908,BARREL,58,1,30,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,BARREL,58,2,31,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,BARREL,306,1,32,55,10.998002
1771538219,2026-02-19 21:56:59,5.000908,BARREL,306,2,33,37,7.398656
1771538219,2026-02-19 21:56:59,5.000908,BARREL,9,1,34,31,6.198874
1771538219,2026-02-19 21:56:59,5.000908,BARREL,9,2,35,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,BARREL,57,1,36,63,12.597711
1771538219,2026-02-19 21:56:59,5.000908,BARREL,57,2,37,13,2.599528
1771538219,2026-02-19 21:56:59,5.000908,BARREL,79,1,38,52,10.398111
1771538219,2026-02-19 21:56:59,5.000908,BARREL,79,2,39,81,16.197057
1771538219,2026-02-19 21:56:59,5.000908,BARREL,116,1,40,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,BARREL,116,2,41,54,10.798038
1771538219,2026-02-19 21:56:59,5.000908,BARREL,13,1,42,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,BARREL,13,2,43,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,BARREL,76,1,44,69,13.797493
1771538219,2026-02-19 21:56:59,5.000908,BARREL,76,2,45,30,5.998910
1771538219,2026-02-19 21:56:59,5.000908,BARREL,17,1,46,20,3.999273
1771538219,2026-02-19 21:56:59,5.000908,BARREL,17,2,47,40,7.998547
1771538219,2026-02-19 21:56:59,5.000908,BARREL,125,1,48,68,13.597530
1771538219,2026-02-19 21:56:59,5.000908,BARREL,125,2,49,22,4.399201
1771538219,2026-02-19 21:56:59,5.000908,BARREL,104,1,52,1,0.199964
1771538219,2026-02-19 21:56:59,5.000908,BARREL,104,2,53,573,114.579184
1771538219,2026-02-19 21:56:59,5.000908,BARREL,37,1,64,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,BARREL,37,2,65,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,BARREL,70,1,66,51,10.198147
1771538219,2026-02-19 21:56:59,5.000908,BARREL,70,2,67,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,BARREL,28,1,68,48,9.598256
1771538219,2026-02-19 21:56:59,5.000908,BARREL,28,2,69,65,12.997639
1771538219,2026-02-19 21:56:59,5.000908,BARREL,54,1,70,43,8.598438
1771538219,2026-02-19 21:56:59,5.000908,BARREL,54,2,71,0,0.000000
1771538219,2026-02-19 21:56:59,5.000908,BARREL,25,1,72,59,11.797857
1771538219,2026-02-19 21:56:59,5.000908,BARREL,25,2,73,62,12.397748
1771538219,2026-02-19 21:56:59,5.000908,BARREL,301,1,74,56,11.197966
1771538219,2026-02-19 21:56:59,5.000908,BARREL,301,2,75,61,12.197784
1771538219,2026-02-19 21:56:59,5.000908,BARREL,304,1,76,54,10.798038
1771538219,2026-02-19 21:56:59,5.000908,BARREL,304,2,77,51,10.198147
1771538219,2026-02-19 21:56:59,5.000908,BARREL,22,1,78,1610,321.941512
1771538219,2026-02-19 21:56:59,5.000908,BARREL,22,2,79,52,10.398111
1771538219,2026-02-19 21:56:59,5.000908,BARREL,4,1,80,46,9.198329
1771538219,2026-02-19 21:56:59,5.000908,BARREL,4,2,81,63,12.597711
1771538219,2026-02-19 21:56:59,5.000908,BARREL,12,1,82,56,11.197966
1771538219,2026-02-19 21:56:59,5.000908,BARREL,12,2,83,57,11.397929
1771538219,2026-02-19 21:56:59,5.000908,BARREL,99,1,84,49,9.798220
1771538219,2026-02-19 21:56:59,5.000908,BARREL,99,2,85,0,0.000000
